month,sentiment_index
2018-01-01,0.38008818843147973
2018-02-01,0.7779036611318588
2018-03-01,-0.3619730110679354
2018-04-01,-0.23290426548450224
2018-05-01,0.06714166783624226
2018-06-01,-0.20052365716113602
2018-08-01,-0.29505027731259664
2018-09-01,-0.05484224669635296
2018-10-01,-0.3722382408121358
2018-11-01,-0.1931070445045348
2018-12-01,0.053175409138202664
2019-01-01,-0.0593123399850094
2019-02-01,0.011250395465780187
2019-03-01,-0.22007132649421693
2019-05-01,-0.12907113154729208
2019-06-01,-0.48273491611083347
2019-07-01,-0.3221614160320976
2019-08-01,-0.3690301130215327
2019-09-01,-0.2218102374497582
2019-10-01,-0.1472908767643354
2019-11-01,-0.08000741750001908
2019-12-01,-0.2199570356922991
2020-01-01,0.01744246482849121
2020-03-01,-0.35187452889624093
2020-04-01,-0.23168392923840306
2020-05-01,-0.8314380079507828
2020-06-01,-0.3083838381265339
2020-07-01,-0.5171380678812663
2020-08-01,-0.30691430446776474
2020-09-01,-0.15567636728286743
2020-10-01,-0.05315866507589817
2020-11-01,-0.19447762105200025
2020-12-01,-0.3184216180626227
2021-01-01,-0.38468435499817133
2021-02-01,-0.04509287488226797
2021-03-01,-0.1701069290821369
2021-04-01,-0.05284904322381747
2021-05-01,0.054522854089736936
2021-06-01,-0.050110112307435374
2021-07-01,-0.0021710097789764404
2021-08-01,-0.22407792413488348
2021-09-01,-0.04337948188185692
2021-11-01,-0.008348532387467682
2021-12-01,-0.03372967378659682
2022-01-01,-0.041633288065592446
2022-03-01,0.002720877158740335
2022-05-01,-0.21470371320627737
2022-06-01,-0.21885828497589274
2022-07-01,-0.20865332734757575
2022-08-01,-0.2190222156047821
2022-09-01,-0.3774710275343995
2022-11-01,-0.3217755640395964
2022-12-01,-0.5718828281024834
2023-01-01,0.4203331470489502
2023-02-01,-0.34823832246992326
2023-03-01,-0.3503305494785309
2023-05-01,-0.2547484545996695
2023-06-01,-0.2697523111104965
2023-07-01,-0.2131239218371255
2023-08-01,-0.43658311869583877
2023-09-01,0.0022402595023851136
2023-10-01,-0.11326098577542738
2023-11-01,-0.23486256421121776
2023-12-01,0.006108399819244038
2024-01-01,0.12413634567759758
2024-03-01,0.16151719479947477
2024-04-01,0.27469777710297527
2024-05-01,-0.08450470380968862
2024-06-01,0.10626289790326898
2024-07-01,-0.09331536351465712
2024-08-01,-0.24956640243530273
2024-09-01,-0.06992939831335333
2024-11-01,0.12023673206567764
2024-12-01,-0.17450698809837228
