month,sentiment_score
2018-01-01,0.0
2018-02-01,0.9986642599105835
2018-03-01,-0.30703192949295044
2018-04-01,-0.8188703060150146
2018-05-01,0.0
2018-06-01,-0.6866354601723808
2018-08-01,-0.8827064832051595
2018-09-01,0.060438960790634155
2018-10-01,-0.7771080136299133
2018-11-01,-0.9230751097202301
2018-12-01,0.242598295211792
2019-01-01,-0.9847320318222046
2019-02-01,0.11466782291730244
2019-03-01,-0.9510408043861389
2019-05-01,0.5786991616090139
2019-06-01,-0.16325352787971498
2019-07-01,-0.13287612795829773
2019-08-01,-0.9762160778045654
2019-09-01,0.9992390871047974
2019-10-01,-0.3627433410057655
2019-11-01,-0.8861480355262756
2019-12-01,-0.3152452955643336
2020-01-01,-0.3138633370399475
2020-03-01,-0.4223511219024658
2020-04-01,-0.4537827287401472
2020-05-01,-0.8283096432685852
2020-06-01,-0.13390788932641348
2020-07-01,0.009685337543487549
2020-08-01,-0.4104387402534485
2020-09-01,0.4686811566352844
2020-10-01,-0.9302542010943095
2020-11-01,0.33300352096557617
2020-12-01,-0.8255605250597
2021-01-01,-0.9173584249284532
2021-02-01,-0.7187120020389557
2021-03-01,-0.30540431539217633
2021-04-01,-0.3393130749464035
2021-05-01,0.0
2021-06-01,-0.5453994274139404
2021-07-01,-0.3417813181877136
2021-08-01,-0.8004073798656464
2021-09-01,-0.18748573746000016
2021-11-01,-0.30978249128048235
2021-12-01,-0.49694015085697174
2022-01-01,-0.578184974193573
2022-03-01,-0.49592416936700995
2022-05-01,-0.8002012859691273
2022-06-01,-0.39198579107012066
2022-07-01,-0.8574831113219261
2022-08-01,-0.6653878177915301
2022-09-01,-0.9687345921993256
2022-11-01,-0.7133568127950033
2022-12-01,-0.47466038912534714
2023-01-01,-0.6085060238838196
2023-02-01,-0.25469478219747543
2023-03-01,-0.9679986834526062
2023-05-01,-0.9092642217874527
2023-06-01,-0.8732111752033234
2023-07-01,-0.6792421539624532
2023-08-01,-0.886770099401474
2023-09-01,-0.9335941076278687
2023-10-01,0.7383170127868652
2023-11-01,-0.6817003965377808
2023-12-01,-0.19262290000915527
2024-01-01,-0.516444879770279
2024-03-01,-0.16942110231944493
2024-04-01,-0.8840305805206299
2024-05-01,-0.7789653667381832
2024-06-01,0.2019964555899302
2024-07-01,-0.3343764940897624
2024-08-01,-0.9241762459278107
2024-09-01,0.9306961596012115
2024-11-01,-0.09724504417843288
2024-12-01,-0.545280629938299
