date,sentiment_index
2018-01-01,-0.07692307692307693
2018-02-01,-0.35294117647058826
2018-03-01,0.16071428571428573
2018-04-01,0.09655172413793103
2018-05-01,-0.0966183574879227
2018-06-01,0.018018018018018018
2018-07-01,0.0
2018-08-01,0.05339805825242718
2018-09-01,-0.08641975308641975
2018-10-01,0.1830065359477124
2018-11-01,0.03296703296703297
2018-12-01,-0.1322314049586777
2019-01-01,0.4375
2019-02-01,0.04310344827586207
2019-03-01,-0.035398230088495575
2019-04-01,0.0
2019-05-01,0.030303030303030304
2019-06-01,0.05116279069767442
2019-07-01,-0.011111111111111112
2019-08-01,0.006493506493506494
2019-09-01,0.12903225806451613
2019-10-01,-0.022988505747126436
2019-11-01,0.0
2019-12-01,0.12727272727272726
2020-01-01,0.1724137931034483
2020-02-01,0.0
2020-03-01,0.32075471698113206
2020-04-01,0.0875
2020-05-01,0.11827956989247312
2020-06-01,0.0273972602739726
2020-07-01,0.16363636363636364
2020-08-01,0.0
2020-09-01,-0.07407407407407407
2020-10-01,-0.08791208791208792
2020-11-01,-0.020833333333333332
2020-12-01,0.0
2021-01-01,0.02
2021-02-01,0.058823529411764705
2021-03-01,-0.13414634146341464
2021-04-01,-0.03508771929824561
2021-05-01,-0.16071428571428573
2021-06-01,-0.14583333333333334
2021-07-01,-0.046511627906976744
2021-08-01,-0.012121212121212121
2021-09-01,-0.11940298507462686
2021-10-01,0.0
2021-11-01,-0.08
2021-12-01,-0.08
2022-01-01,0.02040816326530612
2022-02-01,0.0
2022-03-01,0.06578947368421052
2022-04-01,0.0
2022-05-01,-0.05405405405405406
2022-06-01,-0.12222222222222222
2022-07-01,0.38
2022-08-01,0.04918032786885246
2022-09-01,-0.045454545454545456
2022-10-01,0.0
2022-11-01,0.09659090909090909
2022-12-01,0.3076923076923077
2023-01-01,-0.058823529411764705
2023-02-01,0.07017543859649122
2023-03-01,0.01639344262295082
2023-04-01,0.0
2023-05-01,0.1206896551724138
2023-06-01,-0.015384615384615385
2023-07-01,-0.10714285714285714
2023-08-01,0.2717391304347826
2023-09-01,-0.011111111111111112
2023-10-01,0.039473684210526314
2023-11-01,0.03870967741935484
2023-12-01,-0.021505376344086023
2024-01-01,-0.06779661016949153
2024-02-01,0.0
2024-03-01,-0.1896551724137931
2024-04-01,-0.07575757575757576
2024-05-01,-0.026490066225165563
2024-06-01,-0.05084745762711865
2024-07-01,0.12280701754385964
2024-08-01,0.05263157894736842
2024-09-01,-0.1171875
2024-10-01,0.0
2024-11-01,-0.21212121212121213
2024-12-01,-0.125
