date,sentiment_index,DATE,CPI,PPI,Fed_Funds_Rate,CPI_YoY,PPI_YoY,Fed_Funds_Rate_YoY
2021-05-01,-0.1444576183954874,2021-05-01,268.404,224.9,0.06,4.926466563983079,19.24708377518558,20.0
2021-06-01,0.0863836627257497,2021-06-01,270.71,228.9,0.08,5.317418943207719,19.71757322175733,0.0
2021-07-01,-0.0490252500356629,2021-07-01,271.965,231.85,0.1,5.269167647240969,20.129533678756477,11.111111111111116
2021-08-01,0.121361834365268,2021-08-01,272.752,233.415,0.09,5.181323173271246,20.131240349974263,-10.000000000000009
2021-09-01,0.1099990442091105,2021-09-01,273.942,235.678,0.08,5.363523425270289,20.551406649616368,-11.111111111111104
2021-11-01,-0.0420856795140675,2021-11-01,278.824,243.287,0.08,6.865559520296194,22.68633383761976,-11.111111111111104
2021-12-01,-0.0374582939183534,2021-12-01,280.806,241.338,0.08,7.159457345112474,20.36807980049875,-11.111111111111104
2022-01-01,-0.0709980699834944,2022-01-01,282.542,246.453,0.08,7.578082463000535,20.338378906249982,-11.111111111111104
2022-03-01,-0.0440179818917897,2022-03-01,287.467,260.014,0.2,8.540780148538584,20.93674418604652,185.7142857142857
2022-05-01,0.0954402709007263,2022-05-01,291.299,273.251,0.77,8.530051713089225,21.49888839484213,1183.3333333333337
2022-06-01,0.0984063346025555,2022-06-01,295.072,280.251,1.21,8.999298141923106,22.433813892529475,1412.5
2022-07-01,0.14902379930909,2022-07-01,294.94,272.274,1.68,8.447778206754553,17.43541082596507,1579.9999999999998
2022-08-01,0.2190222156047821,2022-08-01,295.162,269.546,2.33,8.216255059541266,15.47929653192812,2488.888888888889
2022-09-01,0.3832987253155027,2022-09-01,296.421,267.898,2.56,8.205751582451759,13.67119544463209,3100.0
2022-11-01,0.3004957800058974,2022-11-01,298.708,263.157,3.78,7.131380368978291,8.16730856971395,4625.0
2022-12-01,0.4562186860058406,2022-12-01,298.808,257.897,4.1,6.410831677385809,6.861331410718585,5024.999999999999
2023-01-01,-0.4197297245264053,2023-01-01,300.456,260.227,4.33,6.340296309929161,5.588895245746639,5312.5
2023-02-01,0.3460231480144319,2023-02-01,301.476,258.669,4.57,5.957648712766894,2.378294941819048,5612.5
2023-03-01,0.3356522505099957,2023-03-01,301.643,257.062,4.65,4.931348641757127,-1.1353234825817071,2225.0
2023-05-01,0.2134418899522108,2023-05-01,303.316,253.67,5.06,4.125314539356473,-7.165939008457423,557.1428571428571
2023-06-01,0.2217024669927709,2023-06-01,304.099,253.86,5.08,3.0592533347792994,-9.416915550702754,319.8347107438017
2023-07-01,0.1155986328210149,2023-07-01,304.615,253.835,5.12,3.28032820234625,-6.772222099796521,204.7619047619048
2023-08-01,0.4384074254582326,2023-08-01,306.138,257.68,5.33,3.718635867760756,-4.402217061280811,128.75536480686694
2023-09-01,-0.2484397124236738,2023-09-01,307.374,258.934,5.33,3.6950823322234423,-3.346049615898583,108.203125
2023-10-01,0.1539328453086671,2023-10-01,307.653,255.192,5.33,3.2465375076767167,-3.723293883294776,73.05194805194806
2023-11-01,0.1918389286313738,2023-11-01,308.087,252.856,5.33,3.139855644977696,-3.914393308937248,41.00529100529102
2023-12-01,-0.1426569388573428,2023-12-01,308.735,249.866,5.33,3.322200208829762,-3.114033897253543,30.000000000000004
2024-01-01,-0.0943256125730626,2024-01-01,309.794,251.306,5.33,3.1079425939238847,-3.428160798072444,23.094688221709013
2024-03-01,-0.2379997297072074,2024-03-01,312.107,255.095,5.33,3.4690014354717524,-0.7651850526332216,14.623655913978496
2024-04-01,-0.4056739466530936,2024-04-01,313.016,256.978,5.33,3.3540471111874304,0.0272471079141078,10.351966873706008
2024-05-01,-0.0525351538174394,2024-05-01,313.14,255.313,5.33,3.238866396761142,0.6476918831552769,5.335968379446654
2024-06-01,-0.068276913349445,2024-06-01,313.131,255.914,5.33,2.9700853998204435,0.8091073820215788,4.921259842519676
2024-07-01,0.0712457883358001,2024-07-01,313.566,257.321,5.33,2.9384633061405374,1.3733330706955371,4.1015625
2024-08-01,0.2007214870858699,2024-08-01,314.131,255.463,5.33,2.610914032233836,-0.8603694504812243,0.0
2024-09-01,0.0238323785081694,2024-09-01,314.851,252.682,5.13,2.432541464144644,-2.414514895687714,-3.752345215759856
2024-11-01,-0.1595876749356587,2024-11-01,316.449,253.211,4.64,2.7141684004842848,0.1403961147847132,-12.945590994371493
2024-12-01,0.1182513126771744,2024-12-01,317.603,253.423,4.48,2.872366268806581,1.4235630297839696,-15.947467166979356
