month,sentiment_score
2018-01-01,0.5809948086738587
2018-02-01,0.7070220708847046
2018-03-01,-0.14699850479761759
2018-04-01,0.0045026708871890335
2018-05-01,0.3393941556706148
2018-06-01,0.2398391925707096
2018-08-01,-0.08089298451388324
2018-09-01,0.31416567067305246
2018-10-01,-0.06455433794430324
2018-11-01,-0.0225989336059207
2018-12-01,0.36081095536549884
2019-01-01,0.15518788287514135
2019-02-01,0.3163672075039003
2019-03-01,0.16773046180605888
2019-05-01,0.2465686443306151
2019-06-01,0.04467918336391449
2019-07-01,0.09084888866969518
2019-08-01,0.1720583327114582
2019-09-01,0.15912734158337116
2019-10-01,0.3499423182401501
2019-11-01,0.3532800999554721
2019-12-01,0.2337605021893978
2020-01-01,0.30150368257805155
2020-03-01,0.08770874977111816
2020-04-01,-0.007650516306360562
2020-05-01,-0.6399447851710849
2020-06-01,-0.010506769224089019
2020-07-01,-0.13277464509010314
2020-08-01,-0.019357671056474957
2020-09-01,0.3020937099601283
2020-10-01,-0.009690222144126893
2020-11-01,0.3016320488282612
2020-12-01,0.012541267352226453
2021-01-01,-0.13825144159032943
2021-02-01,-0.0806672175725301
2021-03-01,0.02147561510403951
2021-04-01,0.09091679522624382
2021-05-01,0.35150012705061173
2021-06-01,0.1897190885666089
2021-07-01,0.051116515551843954
2021-08-01,-0.11362759981836591
2021-09-01,0.30729734649260837
2021-11-01,0.08505254339527439
2021-12-01,0.20122051239013672
2022-01-01,0.18008641386404634
2022-03-01,0.10861688306633856
2022-05-01,-0.01137520432472229
2022-06-01,-0.02083934664726257
2022-07-01,0.10966700315475464
2022-08-01,-0.4261735697587331
2022-09-01,-0.10736512227190866
2022-11-01,-0.12757598415569024
2022-12-01,-0.2060770889123281
2023-01-01,0.4356207847595215
2023-02-01,0.057647949662701835
2023-03-01,-0.0676790646144322
2023-05-01,-0.015254990621046587
2023-06-01,-0.1648819041252136
2023-07-01,0.009301964389650445
2023-08-01,-0.14458321332931517
2023-09-01,0.24457711507292354
2023-10-01,0.3623877384445884
2023-11-01,0.07303547203540801
2023-12-01,0.3822537681391073
2024-01-01,0.2625791741178391
2024-03-01,0.31224731174675197
2024-04-01,0.23346726099650064
2024-05-01,0.035489135063611545
2024-06-01,0.40522933159119046
2024-07-01,0.00031749338939272126
2024-08-01,-0.23341604215758188
2024-09-01,0.364980086367181
2024-11-01,0.3936346450517344
2024-12-01,0.18105646073818207
