Model,Accuracy,Precision,Recall,F1-Score
Baseline,0.4407051282051282,0.445079395162291,0.4407051282051282,0.43268345470921926
Finbert,0.38782051282051283,0.44305364892432647,0.38782051282051283,0.4065964082291993
Finbert-Fomc,0.4326923076923077,0.43993338395074005,0.4326923076923077,0.4328858500512842
Roberta-Large,0.47596153846153844,0.3204226060330711,0.47596153846153844,0.3277218464335029
Cardiff-Roberta,0.4358974358974359,0.3720352732542668,0.4358974358974359,0.3863399491941323
